Source,Venue,Year,Rank_Type,Rank_Value
SCIMAGO,annual review of biochemistry,2024,SJR,"9,520"
SCIMAGO,annual review of biochemistry,2024,Quartile,Q1
SCIMAGO,annual review of biochemistry,2024,H-index,332
SCIMAGO,annual review of biochemistry,2024,H-index,332
