title,authors,doi,year,source
,M Beaulieu,10.1186/s13731-018-0092-5,2018,J. Innov. Entrepreneurship
,S Butler,10.1016/j.jss.2021.111152,2022,J. Syst. Softw.
,,10.1109/ESEM.2011.36,,
,JW Creswell,,2014,
,K Crowston,10.1145/2089125.2089127,2008,ACM Comput. Surv.
,Z-A Ehsan,10.2139/ssrn.3823361,2021,SSRN Electron. J.
,Fitzgerald.,10.2307/25148740,2006,MIS Q.
,JM Gonzalez-Barahona,10.1109/mc.2020.3041887,2021,Computer
,,10.1109/metrics.2005.24,,
,GM Kapitsaki,10.1016/j.infsof.2022.107034,2022,Inf. Softw. Technol.
,T Karopka,10.4258/hir.2014.20.1.11,2014,Healthc. Inf. Res
,,10.3846/btp.2015.521,,
,F Santarsiero,10.1016/j.technovation.2022.102640,2023,Technovation
,W Scacchi,10.1002/spip.255,2006,Softw. Process Improv. Pract.
,M Shaikh,10.1177/14604582221099828,2022,Health Inf. J.
,J-C Spender,10.1108/ejim-12-2015-0131,2017,Eur. J. Innov. Manag.
,M Stahl,10.1016/j.joitmc.2023.02.004,2023,J. Open Innov. Technol. Market Complex.
,,10.2196/medinform.8131,,
,N Tripathi,10.1016/j.infsof.2019.06.008,2019,Inf. Softw. Technol.
,,,,
,I Chakraborty,10.1016/j.socscimed.2021.113949,2021,Soc Sci Med
